id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[78802]_[50M]_[35,60]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[78802]_[50M]_[35,60]",MANET,EpidemicOracle,100,300,78802,50,"35,60",21600,459,51011,51011,0,18671,15321,331,0.7211,0,153.1118,4576.2508,4519,4.1843,4,3604.2858,2855,6347.15922450407,6380.36224142564,1.85068440489547
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[35402]_[200M]_[25,35]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[35402]_[200M]_[25,35]",MANET,EpidemicOracle,600,300,35402,200,"25,35",21600,728,589243,589243,0,0,208159,682,0.9368,0,862.9927,1459.7419,1428,5.6994,5,544.3765,445,6248.99893660666,6246.35831986605,4.91135639359806
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[52770]_[200M]_[35,60]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[52770]_[200M]_[35,60]",MANET,EpidemicOracle,100,300,52770,200,"35,60",21600,459,42189,42189,0,0,15926,345,0.7516,0,121.287,4846.5594,4752,4.171,4,1877.7787,1540,6119.74092763383,6104.91933268737,Infinity
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[5481]_[200M]_[60, 120]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[5481]_[200M]_[60, 120]",MANET,EpidemicOracle,400,300,5481,200,"60, 120",21600,241,123951,123951,0,0,42741,223,0.9253,0,554.8341,1760.9552,1646,5.5202,5,609.0597,485,6323.08145822468,6273.26532047344,4.18113450972796
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[28749]_[100M]_[5,25]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[28749]_[100M]_[5,25]",MANET,EpidemicOracle,100,300,28749,100,"5,25",21600,1471,169405,169405,0,92554,43184,1034,0.7029,0,162.8346,4879.4014,4643,4.7805,4,2583.0774,2075,6354.20602738679,6365.28076864685,1.82626559799586
"MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[11131]_[75M]_[5,25]","MANET_EpidemicOracleRouter_600n_[300]ttl_[21600]s_seed[11131]_[75M]_[5,25]",MANET,EpidemicOracle,600,300,11131,75,"5,25",21600,1472,5925985,5925985,0,5521038,247769,1240,0.8424,0,4778.0202,2032.8742,1828,11.0879,9,458.6176,315,6352.34944412203,6302.98582536386,Infinity
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[64524]_[150M]_[35,60]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[64524]_[150M]_[35,60]",MANET,EpidemicOracle,400,300,64524,150,"35,60",21600,460,235927,235927,0,0,80176,419,0.9109,0,562.0716,1712.315,1649,5.4248,5,605.0638,480,6288.01554993442,6259.31566202633,4.25488407729277
"MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[15598]_[50M]_[60, 120]","MANET_EpidemicOracleRouter_200n_[300]ttl_[21600]s_seed[15598]_[50M]_[60, 120]",MANET,EpidemicOracle,200,300,15598,50,"60, 120",21600,240,56569,56569,0,2207,19953,202,0.8417,0,279.0446,2755.2475,2649,4.9802,5,2373.1695,925,6179.07452008873,6283.60284804571,2.88971158535193
"MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[11778]_[75M]_[25,35]","MANET_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[11778]_[75M]_[25,35]",MANET,EpidemicOracle,100,300,11778,75,"25,35",21600,728,85971,85971,0,35747,24423,557,0.7651,0,153.3465,4702.6553,4668,4.2729,4,3184.4595,2465,6268.93600224798,6306.51779483631,1.91115646467029
"MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[73906]_[50M]_[35,60]","MANET_EpidemicOracleRouter_400n_[300]ttl_[21600]s_seed[73906]_[50M]_[35,60]",MANET,EpidemicOracle,400,300,73906,50,"35,60",21600,460,929175,929175,0,788154,70916,412,0.8957,0,2254.2791,1955.8058,1827,6.5874,6,1124.3329,665,6265.77231702385,6218.12682966071,3.80152029357448
