id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15475]_[50M]_[60, 120]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15475]_[50M]_[60, 120]_w[3]",MANET,MaxProp,600,300,15475,50,"60, 120",21600,239,98635,98334,276,0,91583,221,0.9247,0,443.9502,1710.5339,1635,4.7738,5,1240.7746,1120,6353.84123535122,6248.09053840056,4.25778738760649
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[94176]_[200M]_[25,35]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[94176]_[200M]_[25,35]_w[3]",MANET,MaxProp,100,300,94176,200,"25,35",21600,728,3679,3649,30,577,1582,242,0.3324,0,14.0785,7739.2355,7555,2.0413,2,7580.5465,7030,6373.54977550513,6342.10689193847,1.53115298860493
"MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[79009]_[100M]_[5,25]_w[3]","MANET_MaxPropRouter_400n_[300]ttl_[21600]s_seed[79009]_[100M]_[5,25]_w[3]",MANET,MaxProp,400,300,79009,100,"5,25",21600,1444,74111,72932,1168,0,61560,1080,0.7479,0,66.5296,4307.4759,4098,2.8389,3,2582.7817,2190,6105.17903533182,5981.47002189399,1.96742935438644
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[24113]_[150M]_[60, 120]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[24113]_[150M]_[60, 120]_w[3]",MANET,MaxProp,100,300,24113,150,"60, 120",21600,242,3514,3503,11,210,1949,117,0.4835,0,28.9402,6975.2906,6307,2.5214,2,5458.7327,4920,6217.37406505038,6111.56304151946,1.49993854169456
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[15598]_[75M]_[25,35]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[15598]_[75M]_[25,35]_w[3]",MANET,MaxProp,100,300,15598,75,"25,35",21600,728,3875,3851,24,680,1724,237,0.3255,0,15.2489,8206.2068,8125,2.0464,2,7638.2475,7055,6413.62266221503,6353.48850224074,1.22343622169416
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[8439]_[100M]_[60, 120]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[8439]_[100M]_[60, 120]_w[3]",MANET,MaxProp,200,300,8439,100,"60, 120",21600,240,13361,13314,44,0,10805,166,0.6917,0,79.2048,5069.3916,5264,3.3675,3,3281.1873,2925,6193.46479398099,6225.02947224778,1.62505402284628
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[94176]_[150M]_[35,60]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[94176]_[150M]_[35,60]_w[3]",MANET,MaxProp,600,300,94176,150,"35,60",21600,459,128693,127906,754,0,119108,407,0.8867,0,313.2654,2189.5209,2158,3.9681,4,1353.8919,1220,6251.05386740847,6263.16616549181,3.4646410337002
"MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15475]_[200M]_[5,25]_w[3]","MANET_MaxPropRouter_600n_[300]ttl_[21600]s_seed[15475]_[200M]_[5,25]_w[3]",MANET,MaxProp,600,300,15475,200,"5,25",21600,1472,162447,159900,2511,0,144515,1250,0.8492,0,126.92,3184.0776,3095,3.136,3,1813.605,1560,6260.08109112495,6294.84282671276,2.65684232260519
"MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[44180]_[50M]_[5,25]_w[3]","MANET_MaxPropRouter_200n_[300]ttl_[21600]s_seed[44180]_[50M]_[5,25]_w[3]",MANET,MaxProp,200,300,44180,50,"5,25",21600,1454,18251,17973,274,239,12194,725,0.4986,0,23.7903,6466.6441,6057,2.2703,2,4769.0314,4166,6252.55199969145,6126.53311996473,1.54806207563428
"MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[8439]_[100M]_[35,60]_w[3]","MANET_MaxPropRouter_100n_[300]ttl_[21600]s_seed[8439]_[100M]_[35,60]_w[3]",MANET,MaxProp,100,300,8439,100,"35,60",21600,459,3735,3712,22,281,1993,198,0.4314,0,17.7475,7009.8434,6608,2.1515,2,6075.3936,5615,6020.25448248295,6155.20218998309,1.3597583699948
