"id","scenario","mobility","router","nodes","ttl","seed","buffer_size","message_interval","sim_time","created","started","relayed","aborted","dropped","removed","delivered","delivery_prob","response_prob","overhead_ratio","latency_avg","latency_med","hopcount_avg","hopcount_med","buffertime_avg","buffertime_med","distance_avg","d_dist_avg","speed_avg","mobility","router","nodes","ttl","seed","buffer_size","message_interval","exp_weight","task_id","execution_assigned","execution_started","execution_finished","worker"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[61959]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[61959]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","61959","50","5,25",21600,1471,320084,320084,0,272013,30425,1045,0.7104,0,305.3005,3437.8325,3012,7.1167,6,925.7104,650,7413.9586868029,7452.66494048351,"Infinity","cdmx","EpidemicOracle",100,300,61959,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[44450]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[44450]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","44450","50","5,25",21600,1471,306735,306735,0,259584,29802,1036,0.7043,0,295.0763,3350.9479,2927,7.0956,6,949.5414,695,7512.6689389606,7374.89056651307,"Infinity","cdmx","EpidemicOracle",100,300,44450,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[4762]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[4762]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","4762","50","5,25",21600,1471,301937,301937,0,255862,28799,1013,0.6886,0,297.0622,3477.4136,3036,6.9862,6,984.942,730,7657.18399057735,7477.1067268387,"Infinity","cdmx","EpidemicOracle",100,300,4762,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[20098]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[20098]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","20098","50","5,25",21600,1471,309590,309590,0,263745,28571,1037,0.705,0,297.5439,3503.9585,3072,7.377,6,941.7712,670,7458.22371322473,7292.73672131488,2.98987357937563,"cdmx","EpidemicOracle",100,300,20098,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[61667]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[61667]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","61667","50","5,25",21600,1471,316165,316165,0,269983,29056,1019,0.6927,0,309.2699,3610.5074,3168,7.3562,6,927.7443,655,7469.47588958205,7326.1339143058,"Infinity","cdmx","EpidemicOracle",100,300,61667,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[15405]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[15405]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","15405","50","5,25",21600,1471,308539,308539,0,261832,29722,1029,0.6995,0,298.8435,3608.9028,3069,7.0787,6,958.1757,710,7381.20272703765,7292.65383550728,"Infinity","cdmx","EpidemicOracle",100,300,15405,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[98682]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[98682]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","98682","50","5,25",21600,1471,301817,301817,0,253529,30897,1061,0.7213,0,283.4647,3639.2441,3099,7.3167,6,989.3004,725,7535.16007368147,7485.60567091311,"Infinity","cdmx","EpidemicOracle",100,300,98682,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[82509]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[82509]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","82509","50","5,25",21600,1471,313538,313538,0,266728,29334,1028,0.6988,0,303.9981,3456.6722,3025,7.0331,6,928.1465,695,7296.6821708203,7218.50446006787,2.98485562416416,"cdmx","EpidemicOracle",100,300,82509,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[65139]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[65139]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","65139","50","5,25",21600,1471,291469,291469,0,244981,29374,1025,0.6968,0,283.36,3540.3629,3073,7.1298,6,1014.5598,740,7863.2812935478,7645.43810972063,"Infinity","cdmx","EpidemicOracle",100,300,65139,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
"cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[4029]_[50M]_[5,25]_w[3]","cdmx_EpidemicOracleRouter_100n_[300]ttl_[21600]s_seed[4029]_[50M]_[5,25]_w[3]","cdmx","EpidemicOracle","100","300","4029","50","5,25",21600,1471,323173,323173,0,275595,30400,1052,0.7152,0,306.1987,3488.9981,3098,7.2966,6,900.8139,640,7551.4010058268,7505.35136881812,3.12119678006484,"cdmx","EpidemicOracle",100,300,4029,50,"5,25",3,0,"2018-08-29T16:47:03.913466","2018-08-29T16:47:03.920828","2018-08-29T17:12:19.416301","S30"
