id,scenario,mobility,router,nodes,ttl,seed,buffer_size,message_interval,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med,distance_avg,d_dist_avg,speed_avg
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[24113]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[24113]_[50M]_[5,25]_w[3]",cdmx,MaxProp,100,300,24113,50,"5,25",21600,1471,14168,14003,160,42,10574,950,0.6458,0,13.74,5242.7453,4754,2.0716,2,4258.5935,3770,7548.12424233274,7407.31431576621,2.4024275532123
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[55182]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[55182]_[50M]_[35,60]_w[3]",cdmx,MaxProp,200,300,55182,50,"35,60",21600,458,41142,40958,179,0,36588,403,0.8799,0,100.6328,2597.0546,2495,3.2953,3,1923.2339,1715,7681.67443054525,7614.64369760783,3.84793646586605
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[5,25]_w[3]",cdmx,MaxProp,100,300,28749,50,"5,25",21600,1471,15226,15085,140,50,11648,978,0.6649,0,14.4243,5242.6329,4797,2.1278,2,4016.571,3535,7328.59423590075,7218.13498813985,2.38942540738389
"cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[28749]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_200n_[300]ttl_[21600]s_seed[28749]_[50M]_[5,25]_w[3]",cdmx,MaxProp,200,300,28749,50,"5,25",21600,1454,55865,55208,644,0,48000,1195,0.8219,0,45.1992,3366.487,3122,2.6059,3,2359.4602,2055,7278.83717761227,7110.85313057985,3.06816125147957
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[71182]_[50M]_[5,25]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[71182]_[50M]_[5,25]_w[3]",cdmx,MaxProp,600,300,71182,50,"5,25",21600,1472,391361,386130,5161,0,360797,1340,0.9103,0,287.1567,1800.8246,1748,3.509,3,1336.0811,1165,7688.91347963107,7733.4225785938,5.15999166936991
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[65221]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[65221]_[50M]_[25,35]_w[3]",cdmx,MaxProp,400,300,65221,50,"25,35",21600,729,158238,156969,1235,0,144993,655,0.8985,0,238.6473,1833.0122,1760,3.713,4,1422.9044,1265,7410.60110704842,7323.10085504467,4.78297679579137
"cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[60, 120]_w[3]","cdmx_MaxPropRouter_100n_[300]ttl_[21600]s_seed[28749]_[50M]_[60, 120]_w[3]",cdmx,MaxProp,100,300,28749,50,"60, 120",21600,242,9931,9900,30,0,8574,201,0.8306,0,48.2537,3259.5025,3161,3.005,3,2639.2543,2370,7342.74627588298,7321.06283171613,3.06746171479133
"cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[59004]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_600n_[300]ttl_[21600]s_seed[59004]_[50M]_[25,35]_w[3]",cdmx,MaxProp,600,300,59004,50,"25,35",21600,728,296877,294511,2302,0,276193,679,0.9327,0,432.7423,1558.2018,1478,4.2872,4,1291.033,1145,7096.97686229245,7045.91812635364,5.3839927050902
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[79009]_[50M]_[25,35]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[79009]_[50M]_[25,35]_w[3]",cdmx,MaxProp,400,300,79009,50,"25,35",21600,729,160737,159472,1231,0,148655,660,0.9053,0,240.6242,1864.8576,1805,3.747,4,1436.4993,1280,7494.67453007459,7431.97392184559,4.68094870808055
"cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[5768]_[50M]_[35,60]_w[3]","cdmx_MaxPropRouter_400n_[300]ttl_[21600]s_seed[5768]_[50M]_[35,60]_w[3]",cdmx,MaxProp,400,300,5768,50,"35,60",21600,460,125483,124793,668,0,115320,418,0.9087,0,297.5478,1675.4402,1616,4.1722,4,1435.7703,1275,7587.90506163222,7468.60349279406,5.15738257377927
